CCS,CPT
42,32150
42,31554
42,32124
42,31643
42,31541
42,31661
42,31636
42,32200
42,31561
42,31545
42,31755
42,31584
42,31580
42,32540
42,31527
42,39561
42,31630
42,31780
42,31637
42,31591
42,31553
42,31750
42,32994
42,31546
42,32815
42,32998
42,31781
42,39560
42,31646
42,39501
42,32654
42,32905
42,39220
42,32141
42,31770
42,31400
42,32504
42,32810
42,31785
42,31365
42,31300
42,32310
42,39000
42,32650
42,31367
42,31370
42,32120
42,31775
42,31382
42,31631
42,31640
42,32220
42,31638
42,31531
42,32906
42,31825
42,31634
42,32655
42,31800
42,31368
42,31420
42,32225
42,32820
42,32653
42,31611
42,32651
42,31540
42,31360
42,31820
42,31730
42,31570
42,31660
42,32110
42,39200
42,31805
42,31528
42,32656
42,32662
42,31590
42,32215
42,39545
42,32503
42,32151
42,32320
42,31641
42,31766
42,32800
42,31645
42,31551
42,31560
42,32140
42,31571
42,32940
42,31530
42,39010
42,31587
42,31760
42,31375
42,31552
42,31592
42,32652
42,31380
42,31786
42,31529
43,33478
43,0484T
43,33477
43,93590
43,33361
43,33426
43,33419
43,33366
43,33463
43,33422
43,33362
43,0345T
43,33440
43,33412
43,33474
43,33391
43,33415
43,33364
43,33602
43,33920
43,33411
43,33465
43,92986
43,33368
43,0483T
43,33404
43,33460
43,33468
43,33476
43,33425
43,33410
43,33369
43,33464
43,33363
43,93592
43,33390
43,33470
43,33365
43,33732
43,33475
43,33430
43,33413
43,33427
43,33367
43,33684
43,33405
43,33418
43,33414
43,33417
43,33496
43,92990
43,33600
43,33471
43,33416
43,33420
43,92987
43,93591
43,33406
44,35600
44,33512
44,33510
44,33535
44,33522
44,33534
44,33140
44,33533
44,33141
44,33517
44,33523
44,33521
44,33530
44,33513
44,33516
44,33518
44,33514
44,33536
44,33511
44,33519
45,92944
45,92921
45,92933
45,92937
45,92924
45,92920
45,92938
45,92941
45,92943
45,92929
45,92925
45,92928
45,92934
45,92973
46,92975
46,92977
47,93562
47,93565
47,75756
47,93464
47,93459
47,93531
47,93454
47,93453
47,93566
47,93458
47,93561
47,93452
47,93572
47,93462
47,93451
47,93533
47,93457
47,93532
47,93456
47,93563
47,93571
47,93463
47,93455
47,93564
47,93567
47,75574
47,93460
47,36013
47,93568
47,0523T
47,93461
47,93530
48,33264
48,33273
48,0416T
48,33236
48,33233
48,33249
48,33263
48,0411T
48,33271
48,33228
48,33274
48,33212
48,33210
48,0409T
48,33231
48,0519T
48,33230
48,33238
48,33229
48,33214
48,0520T
48,33226
48,0408T
48,33211
48,0410T
48,0412T
48,33241
48,33215
48,33237
48,33262
48,33270
48,33243
48,0415T
48,33203
48,33216
48,0517T
48,0518T
48,0414T
48,0515T
48,33222
48,33235
48,33240
48,33223
48,33208
48,33234
48,33227
48,33220
48,33225
48,33207
48,33221
48,33275
48,33218
48,33202
48,33224
48,33244
48,33272
48,0413T
48,0516T
48,33213
48,33206
48,33217
49,0459T
49,33645
49,33976
49,33720
49,33572
49,0453T
49,33340
49,33777
49,33621
49,33775
49,0457T
49,0452T
49,33255
49,33265
49,33975
49,0451T
49,33692
49,33924
49,33813
49,33050
49,33665
49,33257
49,33694
49,33031
49,33259
49,33780
49,33504
49,33973
49,33610
49,32658
49,33979
49,33677
49,0532T
49,33940
49,33258
49,33500
49,33676
49,33120
49,33611
49,33736
49,33781
49,33310
49,33030
49,33617
49,33982
49,33675
49,33786
49,33620
49,0527T
49,33980
49,33776
49,33502
49,33254
49,0455T
49,33542
49,33681
49,33710
49,33545
49,93580
49,93582
49,0458T
49,33970
49,0454T
49,33261
49,33647
49,33020
49,33688
49,93583
49,33981
49,32661
49,33977
49,33622
49,33978
49,33025
49,33726
49,33266
49,33507
49,33770
49,33722
49,33783
49,33503
49,33619
49,33256
49,33697
49,0525T
49,33814
49,0461T
49,33927
49,33506
49,33974
49,33300
49,33660
49,33315
49,33130
49,33615
49,33251
49,33730
49,0460T
49,33771
49,0526T
49,33612
49,33782
49,33779
49,33641
49,33774
49,0456T
49,33670
49,33735
49,33548
49,33983
49,93581
49,33702
49,32160
49,33305
49,33724
49,33967
49,33999
49,33250
49,33929
49,0531T
49,33505
49,33608
49,33737
49,32659
49,33928
49,33778
49,33501
49,0530T
49,33971
50,33992
50,33963
50,92971
50,33986
50,92970
50,33951
50,33991
50,33952
50,33989
50,33962
50,33969
50,33946
50,33966
50,33988
50,33957
50,33993
50,33955
50,33953
50,33958
50,33948
50,33949
50,33954
50,33964
50,33987
50,33956
50,33985
50,33965
50,33947
50,33990
50,33984
50,33959
51,35390
51,35301
51,35901
52,33822
52,33851
52,33877
52,33852
52,34832
52,33330
52,33606
52,34705
52,33880
52,33824
52,35091
52,33884
52,33335
52,34839
52,33864
52,33881
52,35081
52,34830
52,33802
52,35092
52,33866
52,33840
52,33803
52,33853
52,33886
52,33883
52,35082
52,35103
52,33845
52,35102
52,33820
52,33875
52,33863
52,34831
53,37766
53,37785
53,37735
53,37722
53,37765
53,37718
53,37761
53,37780
53,37760
53,37700
54,36581
54,92998
54,36218
54,36597
54,36569
54,36572
54,36578
54,36217
54,36012
54,36228
54,36555
54,36557
54,37211
54,36252
54,37197
54,36584
54,36221
54,36583
54,61651
54,36561
54,36560
54,36660
54,36620
54,36000
54,36248
54,92997
54,36563
54,36500
54,36570
54,36580
54,36254
54,36510
54,36565
54,36014
54,36251
54,36823
54,36010
54,36140
54,36160
54,36226
54,36224
54,36245
54,36568
54,36582
54,36015
54,36585
54,36595
54,36625
54,61650
54,36223
54,36225
54,36246
54,36011
54,36556
54,36200
54,36573
54,36247
54,36253
54,36216
54,36481
54,36571
54,36227
54,36215
54,36566
54,36222
54,36640
54,36558
54,36100
55,35647
55,35521
55,35538
55,35661
55,35686
55,35685
55,35539
55,35566
55,35516
55,34520
55,35525
55,35616
55,35666
55,35540
55,35637
55,35522
55,35518
55,35654
55,35650
55,35583
55,35665
55,35558
55,35533
55,35656
55,35570
55,35671
55,35587
55,35646
55,35565
55,35623
55,35621
55,35638
55,35585
55,35556
55,35537
55,35571
55,35523
56,35631
56,35511
56,35632
56,35535
56,35606
56,35601
56,35634
56,35560
56,35506
56,35508
56,35512
56,35636
56,33750
56,37145
56,35536
56,33767
56,37183
56,33755
56,35663
56,35510
56,37140
56,35509
56,33762
56,35531
56,35633
56,35645
56,37182
56,37180
56,35612
56,35526
56,33768
56,35501
56,35563
56,35642
56,37160
56,35626
56,33764
56,37181
56,33766
56,35515
57,36820
57,36901
57,36835
57,36800
57,36908
57,36821
57,36909
57,36818
57,36825
57,36815
57,36830
57,36905
57,36903
57,36906
57,36907
57,36833
57,36902
57,36819
57,36810
57,36904
57,36838
57,36832
58,90940
58,90937
58,90935
59,35180
59,61645
59,0076T
59,61692
59,61686
59,37609
59,61624
59,61642
59,61705
59,61684
59,61630
59,0266T
59,35701
59,35005
59,33889
59,0269T
59,37216
59,35188
59,61611
59,61640
59,0267T
59,61682
59,61623
59,61708
59,34471
59,37606
59,61711
59,0271T
59,61702
59,0075T
59,37600
59,61690
59,37605
59,60605
59,35693
59,35001
59,61698
59,37615
59,37565
59,35800
59,61700
59,35261
59,61710
59,61697
59,0270T
59,35691
59,0268T
59,35231
59,35694
59,61613
59,35002
59,35697
59,61626
59,61635
59,61641
59,33891
59,60600
59,61703
59,37215
59,35695
59,34001
59,61680
60,34201
60,34421
60,35306
60,35372
60,35700
60,35355
60,35371
60,35302
60,34451
60,35361
60,35903
60,35363
60,35305
60,35303
